LAT,LON,DATE
24.8607,67.0011, 26/2/2020
33.5651,73.0169,27/02/2020
35.8819,74.4643,03/02/2020
30.1798,66.975,03/10/2020
33.148,73.7537,18/03/2020
33.6844,73.0479,27/02/2020
33.5651,73.0169,10/03/2020
33.6844,73.0479,10/03/2020

